topology_type,topology_dimension,weight_distribution,LLM,param_number,quantisation_level,total_count,timeout_count,timeout_rate,avg_node_count,avg_edge_count,avg_degree_avg,density_avg,correct_format_rate,source_target_match_rate,repeated_nodes_rate,continuity_rate,cost_deviation_avg,success_rate,token_count_prompt,token_count_completion,response_time_duration
grid,{'n': 10},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,100.0,180.0,3.6,0.0,1.0,1.0,0.0,1.0,0.2,0.2,3027.6,5326.2,29.1
grid,{'n': 12},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,144.0,264.0,3.7,0.0,1.0,1.0,0.0,1.0,0.2,0.2,4264.8,5867.9,32.1
grid,{'n': 14},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,196.0,364.0,3.7,0.0,1.0,1.0,0.0,1.0,0.1,0.1,5712.0,6997.0,37.8
grid,{'n': 3},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,9.0,12.0,2.7,0.3,1.0,1.0,0.0,1.0,0.1,0.1,419.4,1952.5,12.2
grid,{'n': 4},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,16.0,24.0,3.0,0.2,1.0,1.0,0.0,1.0,0.2,0.2,621.6,2236.4,13.0
grid,{'n': 5},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,25.0,40.0,3.2,0.1,1.0,1.0,0.0,1.0,0.1,0.1,885.6,2751.3,15.6
grid,{'n': 6},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,36.0,60.0,3.3,0.1,1.0,1.0,0.0,1.0,0.0,0.0,1199.4,3116.4,17.6
grid,{'n': 7},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,49.0,84.0,3.4,0.1,1.0,1.0,0.0,1.0,0.0,0.0,1575.0,3430.4,19.2
grid,{'n': 8},uniform,GPT-5-mini-pot,Unknown,Unknown,10,0,0.0,64.0,112.0,3.5,0.1,1.0,1.0,0.0,1.0,0.1,0.1,2013.0,4146.5,22.5
