topology_type,topology_dimension,weight_distribution,LLM,param_number,quantisation_level,total_count,timeout_count,timeout_rate,avg_node_count,avg_edge_count,avg_degree_avg,density_avg,correct_format_rate,source_target_match_rate,repeated_nodes_rate,continuity_rate,cost_deviation_avg,success_rate,token_count_prompt,token_count_completion,response_time_duration
grid,{'n': 10},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,100.0,180.0,3.6,0.0,1.0,1.0,0.0,0.9,0.3,0.3,2587.0,9647.0,120.4
grid,{'n': 12},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,144.0,264.0,3.7,0.0,1.0,1.0,0.0,0.9,0.4,0.4,3727.0,11643.1,179.3
grid,{'n': 14},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,196.0,364.0,3.7,0.0,1.0,1.0,0.0,0.9,0.2,0.2,5083.0,10399.4,140.2
grid,{'n': 3},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,9.0,12.0,2.7,0.3,1.0,1.0,0.0,1.0,1.0,1.0,298.0,989.0,14.9
grid,{'n': 4},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,16.0,24.0,3.0,0.2,1.0,1.0,0.0,1.0,1.0,1.0,463.0,1756.4,23.3
grid,{'n': 5},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,25.0,40.0,3.2,0.1,1.0,1.0,0.0,0.9,0.9,0.9,682.0,2451.0,31.2
grid,{'n': 6},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,36.0,60.0,3.3,0.1,1.0,1.0,0.0,1.0,1.0,1.0,955.0,3666.8,66.1
grid,{'n': 7},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,49.0,84.0,3.4,0.1,1.0,1.0,0.0,0.8,0.7,0.7,1282.0,6558.5,139.5
grid,{'n': 8},uniform,GPT-5-mini,Unknown,Unknown,10,0,0.0,64.0,112.0,3.5,0.1,1.0,1.0,0.0,0.9,0.7,0.7,1663.0,9833.0,133.5
